Blood Accumulated,Delta
0.029612536904376485,0.029612536904376485
9.660705986073141,9.631093449168764
17.881560513375007,8.220854527301864
22.315642546613745,4.434082033238736
25.52219549058651,3.2065529439727634
25.953705002368668,0.4315095117821588
32.32502801787653,6.371323015507857
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
32.32502801787653,0.0
34.585661133541905,2.2606331156653745
44.52827474126528,9.942613607723374
49.308889742422146,4.7806150011568675
50.069232591941926,0.7603428495197806
58.19264269022634,8.123410098284415
60.13420411963381,1.9415614294074635
69.74209713778052,9.607893018146706
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
69.74209713778052,0.0
72.86940689443375,3.1273097566532293
73.41664372284966,0.5472368284159101
81.90856195945098,8.49191823660132
91.21660264370601,9.308040684255038
92.66292738531293,1.4463247416069147
98.47517304719005,5.812245661877135
99.80264034396598,1.3274672967759282
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
99.80264034396598,0.0
100.79903534471363,0.9963950007476574
110.27605147100944,9.477016126295803
111.01281436497236,0.7367628939629245
115.81950133275404,4.806686967781694
122.8274874267464,7.007986093992353
124.48920646756527,1.661719040818861
128.82459746123158,4.335390993666318
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
128.82459746123158,0.0
130.9441933104505,2.1195958492189004
136.55819050466488,5.613997194214379
137.22245394644304,0.6642634417781623
147.03462424205722,9.812170295614186
151.57038255097606,4.535758308918841
158.38595708972585,6.815574538749784
159.87333179147151,1.4873747017456773
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
159.87333179147151,0.0
166.57558110683584,6.702249315364334
168.13904279495566,1.563461688119815
174.6568421869125,6.517799391956864
175.79548765230203,1.1386454653895095
178.18488932414826,2.3894016718462394
185.72972438353645,7.544835059388182
191.74789361042778,6.018169226891343
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
191.74789361042778,0.0
